host_name,alias,ip_address,hostgroup
ZENITH_SDWAN_AND_XREACH_EDGE_ROUTER,ZENITH_SDWAN_AND_XREACH_EDGE_ROUTER,10.16.4.2,ZenithBank
ZENITH_GPON_EDGE_ROUTER,ZENITH_GPON_EDGE_ROUTER,10.16.4.3,ZenithBank
ZENITH_LTE_EDGE_ROUTER_,ZENITH_LTE_EDGE_ROUTER_,10.16.4.6,ZenithBank
ZENITH_BANK_ADEYEMO_ALAKIJA_,ZENITH_BANK_ADEYEMO_ALAKIJA_,10.16.6.49,ZenithBank
ZENITH_BANK_BAR_BEACH,ZENITH_BANK_BAR_BEACH,10.16.6.57,ZenithBank
ZENITH_BANK_OZUMBA_1,ZENITH_BANK_OZUMBA_1,10.16.6.129,ZenithBank
ZENITH_BANK_OKE_ARIN_1,ZENITH_BANK_OKE_ARIN_1,10.21.2.137,ZenithBank
ZENITH_BANK_MOBIL_ROAD,ZENITH_BANK_MOBIL_ROAD,10.21.2.162,ZenithBank
ZENTIH_RORO_PORT,ZENTIH_RORO_PORT,10.21.2.133,ZenithBank
ZENITH_BANK_MARINE_ROAD_,ZENITH_BANK_MARINE_ROAD_,10.24.0.17,ZenithBank
ZENITH_BANK_COKER_CASGH,ZENITH_BANK_COKER_CASGH,10.24.0.25,ZenithBank
ZENITH_BANK_COLL_OF_MEDIC_IDIARABA_POP,ZENITH_BANK_COLL_OF_MEDIC_IDIARABA_POP,10.24.0.75,ZenithBank
ZENITH_BANK_COLL_OF_MEDIC_IDIARABA_CLIENT_,ZENITH_BANK_COLL_OF_MEDIC_IDIARABA_CLIENT_,10.24.0.76,ZenithBank
ZENITH_BANK_OPEBI,ZENITH_BANK_OPEBI,10.24.2.12,ZenithBank
ZENITH_BANK_CADBURY_ATM,ZENITH_BANK_CADBURY_ATM,10.24.2.49,ZenithBank
ZENTIH_BANK_ONIPANU,ZENTIH_BANK_ONIPANU,10.24.2.57,ZenithBank
ZENITH_BANK_ALLEN2,ZENITH_BANK_ALLEN2,10.24.2.99,ZenithBank
ZENITH_BANK_KETU_,ZENITH_BANK_KETU_,10.24.2.121,ZenithBank
ZENITH_BANK_MEDICAL_ROAD,ZENITH_BANK_MEDICAL_ROAD,10.24.2.129,ZenithBank
